"actor","tconst","primaryTitle","startYear","decade","genres","averageRating"
"Jean-Guy Lecat","tt0062285","Oh, Sun",1970,"1970s","Drama",7.4
"Sarah Hardenberg","tt0062285","Oh, Sun",1970,"1970s","Drama",7.4
"Juran Mladen","tt0062285","Oh, Sun",1970,"1970s","Drama",7.4
"Roland Guillemard","tt0062285","Oh, Sun",1970,"1970s","Drama",7.4
"Géraldine Baaron","tt0062285","Oh, Sun",1970,"1970s","Drama",7.4
"Ambroise M'Bia","tt0062285","Oh, Sun",1970,"1970s","Drama",7.4
"Robert Liensol","tt0062285","Oh, Sun",1970,"1970s","Drama",7.4
"Danièle","tt0062285","Oh, Sun",1970,"1970s","Drama",7.4
"Djibrill","tt0062285","Oh, Sun",1970,"1970s","Drama",7.4
"Georges Kalymnos","tt0062285","Oh, Sun",1970,"1970s","Drama",7.4
"Alfred Panou","tt0062285","Oh, Sun",1970,"1970s","Drama",7.4
"Odette Piquet","tt0062285","Oh, Sun",1970,"1970s","Drama",7.4
"Med Hondo","tt0062285","Oh, Sun",1970,"1970s","Drama",7.4
"Hortense Guillemard","tt0062285","Oh, Sun",1970,"1970s","Drama",7.4
"Théo Légitimus","tt0062285","Oh, Sun",1970,"1970s","Drama",7.4
"Josette Barnet","tt0062285","Oh, Sun",1970,"1970s","Drama",7.4
"Jean Edmond","tt0062285","Oh, Sun",1970,"1970s","Drama",7.4
"Les Black Echos","tt0062285","Oh, Sun",1970,"1970s","Drama",7.4
"Ginette Franck","tt0062285","Oh, Sun",1970,"1970s","Drama",7.4
"Mabousso Lo","tt0062285","Oh, Sun",1970,"1970s","Drama",7.4
"Georges Hilarion","tt0062285","Oh, Sun",1970,"1970s","Drama",7.4
"François Pailleux","tt0062285","Oh, Sun",1970,"1970s","Drama",7.4
"Bill Layne","tt0065421","The Aristocats",1970,"1970s","Adventure,Animation,Comedy",7.1
"Phil Harris","tt0065421","The Aristocats",1970,"1970s","Adventure,Animation,Comedy",7.1
"Larry Clemmons","tt0065421","The Aristocats",1970,"1970s","Adventure,Animation,Comedy",7.1
"Paul Winchell","tt0065421","The Aristocats",1970,"1970s","Adventure,Animation,Comedy",7.1
"Hermione Baddeley","tt0065421","The Aristocats",1970,"1970s","Adventure,Animation,Comedy",7.1
"Roddy Maude-Roxby","tt0065421","The Aristocats",1970,"1970s","Adventure,Animation,Comedy",7.1
"Lord Tim Hudson","tt0065421","The Aristocats",1970,"1970s","Adventure,Animation,Comedy",7.1
"Gary Dubin","tt0065421","The Aristocats",1970,"1970s","Adventure,Animation,Comedy",7.1
"Frank Thomas","tt0065421","The Aristocats",1970,"1970s","Adventure,Animation,Comedy",7.1
"Terry Gilkyson","tt0065421","The Aristocats",1970,"1970s","Adventure,Animation,Comedy",7.1
"Robie Lester","tt0065421","The Aristocats",1970,"1970s","Adventure,Animation,Comedy",7.1
"Sterling Holloway","tt0065421","The Aristocats",1970,"1970s","Adventure,Animation,Comedy",7.1
"Thurl Ravenscroft","tt0065421","The Aristocats",1970,"1970s","Adventure,Animation,Comedy",7.1
"Dan MacManus","tt0065421","The Aristocats",1970,"1970s","Adventure,Animation,Comedy",7.1
"Scatman Crothers","tt0065421","The Aristocats",1970,"1970s","Adventure,Animation,Comedy",7.1
"Eva Gabor","tt0065421","The Aristocats",1970,"1970s","Adventure,Animation,Comedy",7.1
"Liz English","tt0065421","The Aristocats",1970,"1970s","Adventure,Animation,Comedy",7.1
"Nancy Kulp","tt0065421","The Aristocats",1970,"1970s","Adventure,Animation,Comedy",7.1
"Dean Clark","tt0065421","The Aristocats",1970,"1970s","Adventure,Animation,Comedy",7.1
"Al Rinker","tt0065421","The Aristocats",1970,"1970s","Adventure,Animation,Comedy",7.1
"Vito Scotti","tt0065421","The Aristocats",1970,"1970s","Adventure,Animation,Comedy",7.1
"Monica Evans","tt0065421","The Aristocats",1970,"1970s","Adventure,Animation,Comedy",7.1
"Pat Buttram","tt0065421","The Aristocats",1970,"1970s","Adventure,Animation,Comedy",7.1
"George Lindsey","tt0065421","The Aristocats",1970,"1970s","Adventure,Animation,Comedy",7.1
"Roman Khomyatov","tt0065457","Beg",1971,"1970s","Drama,History,War",7.7
"Vladimir Naumov","tt0065457","Beg",1971,"1970s","Drama,History,War",7.7
"Naum Korzhavin","tt0065457","Beg",1971,"1970s","Drama,History,War",7.7
"Nikolay Badin","tt0065457","Beg",1971,"1970s","Drama,History,War",7.7
"V. Shikalova","tt0065457","Beg",1971,"1970s","Drama,History,War",7.7
"V. Portugalov","tt0065457","Beg",1971,"1970s","Drama,History,War",7.7
"Valentina Malyanova","tt0065457","Beg",1971,"1970s","Drama,History,War",7.7
"Aleksei Naumov","tt0065457","Beg",1971,"1970s","Drama,History,War",7.7
"Richard Benjamin","tt0065636","Diary of a Mad Housewife",1970,"1970s","Comedy,Drama",7
"Frannie Michel","tt0065636","Diary of a Mad Housewife",1970,"1970s","Comedy,Drama",7
"William Kiehl","tt0065636","Diary of a Mad Housewife",1970,"1970s","Comedy,Drama",7
"Lydia Wilen","tt0065636","Diary of a Mad Housewife",1970,"1970s","Comedy,Drama",7
"I.W. Klein","tt0065636","Diary of a Mad Housewife",1970,"1970s","Comedy,Drama",7
"Renee Semes","tt0065636","Diary of a Mad Housewife",1970,"1970s","Comedy,Drama",7
"Valma","tt0065636","Diary of a Mad Housewife",1970,"1970s","Comedy,Drama",7
"Kurt Garfield","tt0065636","Diary of a Mad Housewife",1970,"1970s","Comedy,Drama",7
"Lorraine Cullen","tt0065636","Diary of a Mad Housewife",1970,"1970s","Comedy,Drama",7
"Lee Addoms","tt0065636","Diary of a Mad Housewife",1970,"1970s","Comedy,Drama",7
