"tconst","primaryTitle","startYear","genres","decade","averageRating","numVotes"
"tt0118117","The War at Home",1996,"Drama","1990s",7,2733
"tt10534996","Josep",2020,"Animation,Biography,Drama","2020s",7.4,2340
"tt4686844","The Death of Stalin",2017,"Comedy,Drama,History","2010s",7.3,126237
"tt0089957","Samaya obayatelnaya i privlekatelnaya",1985,"Comedy,Romance","1980s",7.4,2521
"tt3469964","Blind Massage",2014,"Drama","2010s",7.2,1804
"tt7647198","Love and Shukla",2017,"Comedy,Drama,Romance","2010s",7.2,1234
"tt0071524","The Front Page",1974,"Comedy,Drama,Romance","1970s",7.3,16553
"tt21927594","Girl You Know It's True",2023,"Biography,Drama,Music","2020s",7.1,4572
"tt0373175","My Architect",2003,"Biography,Documentary","2000s",7.4,3448
"tt6980546","Bharath Ane Nenu",2018,"Action,Drama,Thriller","2010s",7.4,20049
"tt4080598","100 Yen Love",2014,"Comedy,Drama","2010s",7.1,3135
"tt1092021","The Investigator",2008,"Comedy,Crime,Drama","2000s",7.4,2847
"tt0083203","Time for Revenge",1981,"Drama,Thriller","1980s",7.8,1528
"tt4328934","Taramani",2017,"Drama,Romance","2010s",7.4,1982
"tt7358598","Let Me Fall",2018,"Biography,Crime,Drama","2010s",7.7,1141
"tt1157720","Stranded",2007,"Documentary","2000s",8,1547
"tt0378215","King's Game",2004,"Drama,Thriller","2000s",7.3,5434
"tt4000670","Mifune: The Last Samurai",2015,"Biography,Documentary","2010s",7.2,1485
"tt0069824","Brother Sun, Sister Moon",1972,"Biography,Drama,History","1970s",7.2,5312
"tt11026788","Ye Mard Bechara",2021,"Comedy","2020s",7.7,1074
"tt0073864","The Old Gun",1975,"Drama,Thriller,War","1970s",7.5,5790
"tt7544820","Too Funny to Fail: The Life & Death of The Dana Carvey Show",2017,"Documentary","2010s",7.7,2148
"tt1941638","Sadda Adda",2012,"Comedy,Drama,Romance","2010s",7,1489
"tt2938416","All This Mayhem",2014,"Biography,Documentary,History","2010s",7.8,3922
"tt0119657","Men with Guns",1997,"Adventure,Drama","1990s",7.6,2986
"tt3917210","Life, Animated",2016,"Comedy,Documentary,Drama","2010s",7.4,6353
"tt4298958","Sweet Bean",2015,"Drama","2010s",7.4,14167
"tt22507524","12.12: The Day",2023,"Action,Drama,History","2020s",7.5,4937
